KEYNAME;TEXT;TEXT;;;;;;;;;;;;x;
some_fake_1860_title_7;솜브레로 폭 사상 최고;Sombrero width at an all-time high;;Sombreros breit wie nie;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_7;멕시코에서 노상강도의 평균 솜브레로(폭이 넓은 멕시코 모자)의 폭이 57인치로 놀라울 정도로 높아졌다는 소식입니다.;It is reported that the width of an average bandito뭩 sombrero has risen to an astounding 57 inches in Mexico.;;Laut Meldungen ist die durchschnittl. Sombrero-Breite von Banditen in Mexiko auf unglaubliche 56 Zoll angewachsen.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_title_8;소방서 설립;Fire-brigade' established;;Brandwache eingerichtet;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_8;새롭고 좋습니다.;They're new, but they're good. ;;Neu und unglaublich gut.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_title_9;축구 대중화;Football gains popularity;;Fu쬦all immer beliebter;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_9;최근 축구 경기 관람객이 증가했습니다. 이 광경은 노동자나 하류층 구성원 사이에서 특히 인기있는 것으로 나타났습니다.;Attendances at association football matches have risen recently, with the spectacle proving especially popular amongst members of the labouring and destitute classes. ;;Besucherzahlen im Vereins-Fu쬦allsport wachsen, Spektakel besonders beliebt bei Arbeitern und Erwerbslosen.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_title_10;사설;Editorial:;;Redaktionelles:;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_10;자전거를 탄 여성분을 주의하라. 기계에 올라탄 여성들이 페티코트들을 산들바람에 부주의하게 펄럭이면서 모든 사람들이 볼 수 있도록 발목을 노출하면 남성을 정신나간 광란에 빠뜨릴 것이다(10쪽);Beware the female bicycleatrix. Women astride machines, petticoats fluttering carelessly in the breeze, ankles exposed for all to see, will send men into a deranged frenzy ( pg. 10);;Vorsicht vor weiblicher Rad-Amazone (mehr auf Seite 10);;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_title_11;빛을 찾은 폼페이와 헤르쿨라네움;Pompeii and Herculaneum back to light;;Pompeji und Herculaneum offengelegt;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1860_11;새로운 발굴법은 AD 79년 베수비오화산의 폭발로 인해 파괴된 도시들을 세상에 돌려놓습니다.;New methods of excavation return to the world the cities destroyed by Vesuvius in 79 AD.;;Neue Ausgrabungsmethoden bringen die 79 AD vom Vesuv zerst쬦ten St쬦te der Welt zur쬦k.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1870_title_1;사설:;Editorial:;;Redaktionelles:;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1870_1;후진적인 아프리카인들은 우리의 자애로운 지배를 갈망한다. 아일랜드인들이 친절하게 영국의 지배를 환영하는 만큼이나 흑인들도 백인들의 지배를 갈망한다.(10쪽);The backward African peoples long for our benevolent governance. Much as the Irish graciously welcomed British overlordship, the black race crave the guiding hand of whites (pg. 10);;R쬦kst쬦dige V쬦ker Afrikas ersehnen unsere g쬦ige F쬦rung (mehr auf Seite 10);;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1870_title_2;문학:;Literature:;;Literatur:;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1870_2;80일 만에 전 세계를 돌며 독자분들의 즐거움과 교육을 검토했습니다.;Around the World in 80 days, reviewed for the reader's pleasure and education.;;Um die Welt in 80 Tagen, f쬦 Lesespa쬦und Bildung unserer Leser rezensiert.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1870_title_3;코르셋으로 인한 실신;Corset-related fainting;;Ohnmacht durch Korsett;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1870_3;역대 최고치입니다! 그러나 또 다시 휴양시설, 병원, 그리고 의장석에는 코르셋을 과도하게 조인 희생자들이 넘쳐나고 있습니다.;Is at an all-time high! Yet again our nation spas, hospitals and chaise-longues are inundated with victims of corset overtightening.;;Rekordzahlen! Erneut werden die B쬦er, Hospit쬦e und Chaiselongues von Opfern zu eng geschn쬦ter Korsetts 쬦errannt.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1880_title_1;비행 성공!;Airborn Success!;;Erfolge der Luftfahrt!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1880_1;프랑스 군용 비행선인 '라 프랑스'는 성공적인 왕복여행을 위한 첫 동력비행선입니다.;La France, a French military airship, becomes first powered airship to make a successful round trip.;;"Franz. Milit쬦-Luftschiff ""La France"" erstes Luftschiff mit Motorantrieb auf erfolgreicher Rundfahrt.";;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1880_title_2;고층건물들;High-rise Buildings;;Hochh쬦ser;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1880_2;미국에서 거대한 철근 건물들에 둘러싸인 마천루가 세워졌습니다.;밪ky-Scrapers쬦built in America, these massive steel-framed buildings tower over their surroundings.;;밪ky-Scraper쬦in Amerika, massive stahl-ummantelte Hochh쬦ser 쬦erragen ihre Umgebung.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1880_title_3;박하술 저장!;Mint juleps saved!;;Mint Julep gerettet!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1880_3;미국의 마빈 C. 스톤이 음주용 빨대를 발명했습니다.;Marvin C. Stone, in the USA, invents the 봡rinking straw쬦;;Marvin C. Stone, USA, erfindet den 밪trohhalm쬦;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1880_title_4;잘못될 수 없다;Nothing can go wrong here;;Da kann nichts schiefgehen;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1880_4;미국에서 모르핀 중독 치료제가 발견됐습니다. 바로 코카와인입니다!;Cure for morphine addiction discovered in USA: Coca-wine!;;Heilung f쬦 Morphium-Sucht in USA entdeckt: Koka-Wein!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1880_title_5;비스마르크 사임;Bismarck resigns;;Bismarck tritt zur쬦k;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1880_5;비스마르크가 독일 총리직에서 사임했습니다. 독일이라는 배는 조종사를 잃은 격입니다.;Bismarck resigns as Chancellor of Germany, ship of state loses her pilot.;;Bismarck tritt als Kanzler Deutschlands zur쬦k, Schiff des Staates ohne Kapit쬦.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1880_title_6;사설:;Editorial:;;Redaktionelles:;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1880_6;사회주의는 서구 문명을 파괴할 것이다. 왜냐면, 사회주의는 노동계급에게 힘을 실어주고, 그들이 부자들만큼 훌륭하고 가치있다고 믿게 만들 것이기 때문이다.(10쪽);This socialism will destroy western civilisation. Why, it will empower the working classes, allowing them to believe they are as good and worthy as the rich. Pish & fipsy! (pg 10) ;;Sozialismus wird westliche Zivilisation zerst쬦en (mehr auf Seite 10);;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1880_title_7;미국 정부는 행동에 나서야 하는가?;Should the American government act쬦;;Sollte die Regierung Amerikas handeln쬦;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1880_7;흑인에 대한 린치는 미국의 심장부에서도 흔한 일이 됐습니다. 이 출판물의 편집위원회는 다음과 같이 묻습니다. '이 관행을 멈추기 위해 국가가 개입해야 합니까쬦';Lynchings of members of the negro race have become commonplace across the heartlands of America. The editorial board of this publication asks: Should the state intervene to stop this practise쬦 ;;Lynchmorde unter den Schwarzen nehmen in den mittleren Staaten Amerikas zu. Wir stellen die Frage: Sollte der Staat eingreifen und dem ein Ende setzen쬦;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1890_title_1;이륙!;Lift off!;;Abheben!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1890_1;공기부양정보다 무거운 증기력을 가진 아델 어올이 파리 근교에서 짧은 비행을 했습니다.;The Ader Eole, a steam powered heavier than air craft, makes a short powered flight near Paris.;;Die Ader Eole, ein dampfgetriebenes Gef쬦rt schwerer als Luft, absolviert kurzen Flug nahe Paris.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1890_title_2;성공적인 비행!;Successful Flight!;;Erfolgreicher Flug!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1890_2;더비처 글라이더는 브란덴부르크의 더비츠 근처에서 약 80피트의 비행 거리를 포함하는 세계에서 최초의 성공적인 유인 항공기가 됐습니다.;Derwitzer Glider becomes the first successful manned aircraft in the world, covering flight distances of up to about 80 feet near Derwitz in Brandenburg.;;Derwitzer Glider wird erstes erfolgreiches, bemanntes Flugger쬦 der Welt und 쬦erwindet bis zu 80 Fu쬦Distanz bei Derwitz in Brandenburg.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1890_title_3;감동적인 사진!;Moving Pictures!;;Bewegte Bilder!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1890_3;키네토스코프는 브루클린 예술과학연구소에서 감동적인 사진을 전시해 시청자들을 놀라게 했습니다.;The Kinetoscope astounds viewers by displaying moving pictures at the Brooklyn Institute of Arts and Sciences.;;Kinetoskop beeindruckt Publikum im Brooklyn Insitute of Arts and Sciences mit bewegten Bildern.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1890_title_4;만세! 즐거운 90년대;Hurrah! Tis the gay 90s;;Hurra! Hier sind die wilden 90er;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1890_4;지금보다 더 즐거운 시절은 분명 없었고 앞으로도 없을 것입니다. 편집 위원회는 정중하게 '즐거운 90년대'라는 문구가 우리의 일상적인 담론의 어휘에 포함되어야 한다고 제안했습니다.;As a gayer time than now has surely never been and never again will be, the editorial board respectfully suggests that the phrase 몋he gay 90s쬦should make its way into the lexicon of our daily discourse.;;Eine wildere Zeit als diese hat es noch nie gegeben und wird es wohl nie wieder geben. Wir schlagen daher vor, den Begriff 밆ie Wilden 90er쬦ins Lexikon aufzunehmen.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1890_title_5;언제쯤 인간이 치솟을까?;Could man one day soar쬦;;Kann der Mensch eines Tages fliegen쬦;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1890_5;우리 나라 전역에서 몽상가들은 인간이 언젠가는 기계적 장치를 이용해 천국으로 갈 수 있을 것이라고 추측하고 있습니다.;Across our nation, dreamers are speculating that man could one day take to the heavens using mechanical contraptions.;;Landesweit hoffen Tr쬦mer, dass der Mensch eines Tages mithilfe mechanischer Ger쬦e den Himmel erobern wird.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1890_title_6;사설:;Editorial:;;Redaktionelles:;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1890_6;만약 그가 인간이 날기를 바랐다면, 그는 우리에게 날개를 달았을 것입니다 - 이 신문의 주요 주주이자 선장이 쓴 객원 논평.;If He had wished man to fly, He would have granted us wings - a guest commentary written by the ship magnate and major shareholder of this newspaper Charles O'Ligarch. (see pg. 10);;Wenn Gott wollte, das wir fliegen, h쬦te er uns Fl쬦el gegeben (mehr auf Seite 10);;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1890_title_7;화석의 오류;Wrong End Foremost;;Falsches Ende gibt Ton an;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1890_7;코프 교수가 조립한 것으로 유명한 엘라스모사우루스의 머리뼈가 사실 꼬리뼈라는 사실을 고생물학자 O.c. 마쉬가 밝혔습니다.;Reputed paleontologist O.;c Marsh revealed today that the famed Elasmosaurus assembled by Professor Cope has in fact its head attached to its tail end. The professor was not available for comment.;;Angesehener Pal쬦ntologe O.;c. Marsh enh쬦lt, dass der von Professor Cope zusammengesetzte Elasmosaurus seinen Kopf am Schwanz befestigt hat. Cope war nicht f쬦 einen Kommentar zu erreichen.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1900_title_1;공기보다 가벼움;Lighter than air;;Leichter als Luft;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1900_1;체펠린 비행선을 이용한 첫 비행은 독일 프리드리히샤펜 근처의 콘스탄스 호수 상공에서 일어났습니다.;The first zeppelin flight occurs over Lake Constance near Friedrichshafen, Germany.;;Der erste Zeppelinflug  쬦er dem Bodensee in Deutschland, nahe Friedrichshafen.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1900_title_2;재앙!;Disaster!;;Desaster!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1900_2;강력한 허리케인이 미국 텍사스주 갤버스턴을 강타해 8천여 명이 숨졌습니다.;A powerful hurricane has hit Galveston, Texas, USA killing around 8,000 people.;;Zerst쬦erischer Orkan trifft Galveston, Texas, USA und t쬦et 8.000 Menschen.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1900_title_3;재앙!;Disaster!;;Desaster!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1900_3;마르티니크에서 펠리 산이 폭발해 생피에르 마을이 파괴되고 3만 명 이상이 목숨을 잃었습니다.;In Martinique, Mount Pel쬦 has erupted, destroying the town of Saint-Pierre and killing over 30,000.;;Mount Pel쬦 in Martinique ausgebrochen, Stadt Saint-Pierre vollst쬦dig zerst쬦t, 쬦er 30.000 Tote.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1900_title_4;재앙!;Disaster!;;Desaster!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1900_4;베수비우스 화산이 폭발해 나폴리를 초토화시켰습니다.;;Mount Vesuvius has erupted, devastating Naples.;;Der Vesuv ist ausgebrochen, Neapel in Schutt und Asche.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1900_title_6;재앙!;Disaster!;;Desaster!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1900_6;지진과 쓰나미가 시칠리아에 있는 메시나와 칼라브리아를 강타해 7만 명 이상의 사망자를 냈습니다.;An earthquake and tsunami has hit  Messina and Calabria, in Sicily, killing over 70,000 people.;;Erdbeben und Tsunami treffen Messina unnd Kalabrien in Sizilien, mehr als 70.000 tot.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1900_title_7;사기꾼!;The Captain of K쬦enick;;Der Hauptmann von K쬦enick;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1900_7;독일군 장교로 가장한 사기꾼이 베를린에서 군인들을 속여 보물 4천여 점을 훔쳤습니다.;An impostor masquerading as a German military officer managed to fool soldiers in Berlin and steal over 4000 marks due to so-called suspicions of crooked bookkeeping. He gave a receipt. ;;Hochstapler gibt sich als deutscher Milit쬦offizier aus, trickst Soldaten in Berlin aus und stiehlt mehr als 4000 Mark wegen angeblich falscher Buchf쬦rung. Er gab eine Quittung.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_title_1;재앙!;Disaster!;;Desaster!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_1;역사상 가장 큰 배인 타이타닉호는 첫 항해 중 북대서양에서 빙산과 충돌한 후 침몰했고, 1,500명 이상의 사람들이 그 재난으로 사망한 것으로 여겨지고 있습니다.;The RMS Titanic, the largest ship ever built, has sunk after striking an iceberg in the North Atlantic during her maiden voyage, over 1,500 people are believed to have perished in the disaster.;;RMS Titanic, gr秤tes jemals gebautes Schiff, nach Zusammensto쬦mit Eisberg auf ihrer Jungfernfahrt im Nord-Atlantik gesunken. Mehr als 1.500 Tote erwartet.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_title_2;재앙!;Disaster!;;Desaster!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_2;북해 폭풍이 네덜란드를 강타해 저지대가 침수됐습니다. 만 명의 사람들이 죽었다고 합니다.;North Sea storm hits the Netherlands, flooding the lowlands. 10,000 people believed dead.;;Sturm 쬦er der Nordsee setzt Holland unter Wasser, 10.000 Tote erwartet.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_title_3;발견!;Discovery!;;Entdeckung!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_3;히람 빙햄이 알려지지 않았던 잉카의 도시 마추픽추를 발견했습니다.;Hiram Bingham rediscovers Machu Picchu, a previously unknown Incan city.;;Hiram Bingham entdeckt Machu Pichu wieder, eine vormals unbekannte Inka-Stadt.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_title_4;흡연자들의 즐거움!;Smokers rejoice!;;Raucher frohlocket!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_4;기드온 순드바크가 지퍼를 발명했습니다.;Zipper invented by Gideon Sundback.;;Gideon Sundback erfindet Rei쬦erschluss.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_title_5;아침을 지켜내다;Breakfast is saved;;Fr쬦st쬦k gesichert;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_5;찰스 스트라이트가 빵위 툭 튀어나오는 토스트기를 발명했습니다.;Charles Strite invents the  pop-up bread toaster.;;Charles Strite erfindet den Brotr쬦ter.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_title_6;대륙이동설 제시;Continental drift' postulated;;Kontinentaldrift angenommen;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_6;독일의 저명한 과학자인 알프레드 베게너는 우리가 서 있는 대륙들이 지구 표면에서 움직이고 있다는 이론을 제시했습니다.;Alfred Wegener, a prominent German scientist, has put forth the theory that the very continents upon which we stand could be moving about on the Earth's surface.;;Bekannter deutscher Wissenschaftler Alfred Wegener entwickelt Theorie, dass die Kontinente, auf denen wir wandeln, auf der Erdoberfl쬦he schwimmen k쬦nten.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_title_7;일반상대성이론;General relativity;;Relativit쬦stheorie;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_7;알버트 아인슈타인이 공간, 시간, 중력과 수많은 다른 힘 사이의 관계를 설명하려고 하는 혼란스럽고 복잡한 공식인 일반 상대성 이론을 발표했습니다.;Albert Einstein has published his theory of general relativity, a confusing and complicated set of formulae which seeks to explain the relationship between space, time, gravity and a myriad of other forces.;;Albert Einstein ver쬦fentlicht Relativit쬦stheorie, eine verwirrende und komplexe Formelsammlung, die Zusammenh쬦ge in Raum, Zeit, Schwerkraft und einer Vielzahl anderer Kr쬦te erkl쬦en soll.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_title_8;사설:;Editorial:;;Redaktionelles:;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_8;여성주의는 서구 문명을 파괴할 것이다. 남녀평등은 문명화된 사람들이라면 생각하지도 않을 타락 그 자체다. 여성주의는 여성 운전자로 이어질 수 있다(10쪽).;This feminism will destroy western civilisation. Equality of the sexes is a depravity which no civilised people would contemplate. Why, feminism could lead to women drivers (pg. 10);;Der Feminismus wird westl. Zivilisation zerst쬦en (mehr auf Seite 10);;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_title_9;자유기고란:;Free inside:;;Kostenlose Beilage:;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_9;십자말풀이는 독자들이 자신의 통찰력의 강함을 보여줄 수 있는 이상한 오락거리입니다.';A 'cross-word puzzle', a whimsical pastime which will nonetheless allow the reader to demonstrate the fortitude of their perspicacity. ;;Ein 'Kreuzwort-R쬦sel', ein netter Zeitvertreib, mit dem unsere Leser ihren Scharfsinn demonstrieren k쬦nen.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_title_10;셜록 홈즈 결말 논란;Sherlock Holmes' ending controversy;;Kontroverse zum Ende von Sherlock Holmes;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1910_10;아서 코난 도일 경은 그 유명한 탐정의 죽음으로 인해 엄청난 팬들의 항의가 있자, 그를 죽음에서 다시 데려오기로 결심했습니다.;After a massive fan outcry due to the bittersweet death of the famous detective, author Sir Arthur Conan Doyle decides to bring him back from the dead, providing clarification and closure.;;Nach massivem Aufschrei der Fans zum bitters廻en Ende des ber쬦mten Detektivs, entschlie쬦 sich Sir Arthur Conan Doyle ihn wiederzubeleben und verspricht Klarheit und Abschluss.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_title_1;비행 기록;Flight record;;Flugrekord;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_1;찰스 린드버그이라는 남자가 뉴욕에서 파리까지 쉬지 않고 혼자서 대서양을 횡단한 최초의 사람이 됐습니다.;Charles Lindbergh becomes the first person to fly solo across the Atlantic Ocean (May 2021, 1927), nonstop from New York to Paris.;;Charles Lindbergh 쬦erfliegt als erster Mann solo und nonstop den Atlantischen Ozean von New York nach Paris (20.-21. Mai 1927);;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_title_2;별로!;To the stars!;;Zu den Sternen!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_2;로버트 고다드라는 남자가 세계에서 처음으로 액체 연료 로켓을 비행시켰습니다.;World뭩 first flight of a liquid-fueled rocket by Robert Goddard.;;Weltweit erster Raketenflug mit Fl쬦sigtreibstoff von Robert Goddard.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_title_3;턱수염의 끝?;An end to beards쬦;;Das Ende der B쬦te쬦;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_3;미국의 콜 제이콥 쉬크가 세계에서 처음으로 전기면도기에 대한 특허를 출원했습니다.;First electric razor patented by the American manufacturer Col. Jacob Schick.;;Erster elektr. Rasierer vom amerikanischen Hersteller Col. Jacob Schick patentiert.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_title_4;음악의 미래;The future of music;;Zukunftsmusik;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_4;자동악기 회사에서 쥬크박스를 처음으로 전보였습니다.;The first selective Jukeboxes introduced by the Automated Musical Instrument Company.;;Erster Musikautomat mit Musikwahl von Automated Musical Instrument Company vorgestellt.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_title_5;이유를 모르겠는 유행;We don't know why;;Wir wissen nicht warum;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_5;깃대서기가 서구세계를 휩쓸었습니다.;Pole-sitting fad sweeps western world.;;Pfahlsitzen-Marotte erobert westl. Welt.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_title_6;사설:;Editorial:;;Redaktionelles:;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_6;텔레비전은 서구 문명을 파괴할 것이다. 오늘은 끔찍한 나무 꼭두각시 인형들이요 내일은 끔찍한 술에 취해서 음란한 20대들이로다. (10쪽 참조);This 'television' genuinely will destroy western civilisation. Today, horrendous wooden puppets, tomorrow, horrendous drunken and lascivious twenty-somethings쬦 (see page 10);;Fernseher werden westliche Zivilisation vernichten (mehr auf Seite 10);;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_title_7;사설:;Editorial:;;Redaktionelles:;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_7;재즈는 서구 문명을 파괴할 것이다. 음악 역사상 이렇게 부패한 가락은 들어본 적이 없다. 이런 금찍한 선율은 우리 사회에서 사라져야 한다.(10쪽);This 'jazz' will destroy western civilisation. Never in the history of music has such a corrupting rhythm been heard. The jungle beat has no place in our repressed society (pg. 10) ;;Jazz wird westl. Zivilisation vernichten (weiter auf Seite 10);;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_title_8;재즈 열풍!;The jazz craze!;;Der Jazz-Wahn!;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_8;새로운 유행이 국내의 음악청취자들의 열정을 일깨웠다. 태교적인 춤, 음탕함, 그리고 인종적인 혼합은 이 이색적이고 어긋난 음악의 특징이다.;A new fad has awakened the passions of the nation's music-listeners. Frenetic dancing, unchaperoned licentiousness and race-mixing are natural byproducts of this far out and wrong musical form.;;Musikliebhaber von neuer Marotte erfasst: Frenetische T쬦ze, Zuchtlosigkeit und Rassenvermischung sind Nebenprodukte dieser falschen Musikform.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
some_fake_1920_title_9;문학 요약문: 울리세스;Literary digest: Ulysees;;Literatur-쬦ersicht: Ulysees;;;;;;;;;;;x;;;;;;;;;;;;;;;;
